,feature,mutual_information
1,Attrition,0.441695
13,JobRole,0.030241
19,OverTime,0.027688
12,JobLevel,0.02498
23,StockOptionLevel,0.020984
15,MaritalStatus,0.014966
18,NumCompaniesWorked,0.008765
11,JobInvolvement,0.008732
2,BusinessTravel,0.008082
8,EnvironmentSatisfaction,0.006998
14,JobSatisfaction,0.005904
7,EducationField,0.005068
25,TrainingTimesLastYear,0.005018
26,WorkLifeBalance,0.004787
4,Department,0.003568
22,RelationshipSatisfaction,0.001696
6,Education,0.001088
9,Gender,0.000437
21,PerformanceRating,4e-06
