,feature,mutual_information,mi_normalized
1,Attrition,0.441695,1.0
16,MonthlyIncome,0.03338,0.075573
13,JobRole,0.030241,0.068466
19,OverTime,0.027688,0.062685
24,TotalWorkingYears,0.025848,0.05852
12,JobLevel,0.02498,0.056555
30,YearsWithCurrManager,0.0244,0.055241
27,YearsAtCompany,0.021269,0.048154
23,StockOptionLevel,0.020984,0.047508
28,YearsInCurrentRole,0.017537,0.039705
0,Age,0.017314,0.039199
15,MaritalStatus,0.014966,0.033883
18,NumCompaniesWorked,0.008765,0.019844
11,JobInvolvement,0.008732,0.019769
5,DistanceFromHome,0.008445,0.019119
2,BusinessTravel,0.008082,0.018297
8,EnvironmentSatisfaction,0.006998,0.015844
14,JobSatisfaction,0.005904,0.013366
7,EducationField,0.005068,0.011474
25,TrainingTimesLastYear,0.005018,0.011361
26,WorkLifeBalance,0.004787,0.010837
4,Department,0.003568,0.008078
17,MonthlyRate,0.002049,0.00464
22,RelationshipSatisfaction,0.001696,0.00384
6,Education,0.001088,0.002464
9,Gender,0.000437,0.00099
21,PerformanceRating,4e-06,9e-06
10,HourlyRate,0.0,0.0
20,PercentSalaryHike,0.0,0.0
3,DailyRate,0.0,0.0
29,YearsSinceLastPromotion,0.0,0.0
